matrix_group,scale,instance_id,mode,algorithm_status,certificate_scope,pricing_state,uses_true_dual_bpc_certificate,bpc_certificate_status,official_lower_bound_source,official_lower_bound_scope,best_diagnostic_bound_source,B0_direct_objective,B1_root_lp_bound,root_lp_bound_official,root_lp_bound_le_direct_dp_integer_objective,root_lp_vs_direct_dp_gap,integral_root,pricing_round_count,added_column_count,manual_rc_audit_pass,pricing_rc_audit_pass,proof_debt_unreleased_count,wall_time,fail_closed_reason,direct_root_official_leak,b1_mode,seed_mode,initial_column_count,full_universe_column_count,full_universe_preloaded
5-scale full,5,lunar_ice_sp50_005_001_seed679001,B0_pure_direct_dp,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,NOT_PORTED_TRUE_DUAL_BPC,analytic_relaxation,global_relaxation,direct_fixed_graph_root_lp,1310.952686,,False,,,,0,0,,,0,0.004032,,False,,,,,
5-scale full,5,lunar_ice_sp50_005_001_seed679001,B1A_full_universe_root_audit,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,CERTIFIED_NO_NEGATIVE,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,,1310.952686,1310.952686,True,True,0.0,True,1,0,True,True,0,0.082744,,False,B1A_full_universe_root_audit,full_universe,31,31,True
5-scale full,5,lunar_ice_sp50_005_001_seed679001,B1B_seeded_root_CG,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,CERTIFIED_NO_NEGATIVE,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,,1310.952686,1310.952686,True,True,0.0,True,3,20,True,True,0,0.128999,,False,B1B_seeded_root_CG,b0_incumbent_plus_singletons,6,31,False
5-scale full,5,lunar_ice_sp50_005_002_seed679002,B0_pure_direct_dp,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,NOT_PORTED_TRUE_DUAL_BPC,analytic_relaxation,global_relaxation,direct_fixed_graph_root_lp,1349.525425,,False,,,,0,0,,,0,0.003426,,False,,,,,
5-scale full,5,lunar_ice_sp50_005_002_seed679002,B1A_full_universe_root_audit,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,CERTIFIED_NO_NEGATIVE,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,,1349.525425,1349.525425,True,True,0.0,True,1,0,True,True,0,0.137328,,False,B1A_full_universe_root_audit,full_universe,31,31,True
5-scale full,5,lunar_ice_sp50_005_002_seed679002,B1B_seeded_root_CG,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,CERTIFIED_NO_NEGATIVE,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,,1349.525425,1349.525425,True,True,0.0,True,3,21,True,True,0,0.171868,,False,B1B_seeded_root_CG,b0_incumbent_plus_singletons,6,31,False
5-scale full,5,lunar_ice_sp50_005_003_seed679005,B0_pure_direct_dp,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,NOT_PORTED_TRUE_DUAL_BPC,analytic_relaxation,global_relaxation,direct_fixed_graph_root_lp,1316.47124,,False,,,,0,0,,,0,0.004771,,False,,,,,
5-scale full,5,lunar_ice_sp50_005_003_seed679005,B1A_full_universe_root_audit,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,CERTIFIED_NO_NEGATIVE,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,,1316.47124,1316.47124,True,True,0.0,True,1,0,True,True,0,0.161121,,False,B1A_full_universe_root_audit,full_universe,31,31,True
5-scale full,5,lunar_ice_sp50_005_003_seed679005,B1B_seeded_root_CG,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,CERTIFIED_NO_NEGATIVE,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,,1316.47124,1316.47124,True,True,0.0,True,4,20,True,True,0,0.247056,,False,B1B_seeded_root_CG,b0_incumbent_plus_singletons,6,31,False
5-scale full,5,lunar_ice_sp50_005_005_seed679011,B0_pure_direct_dp,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,NOT_PORTED_TRUE_DUAL_BPC,analytic_relaxation,global_relaxation,direct_fixed_graph_root_lp,1182.368403,,False,,,,0,0,,,0,0.004184,,False,,,,,
